index,param,value
949,side_detector_distance,0
952,map,10
952,traffic_density,10
952,side_detector_distance,0
956,map,10
956,traffic_density,10
956,side_detector_distance,0
957,map,10
957,traffic_density,10
957,side_detector_distance,0
960,map,6
960,traffic_density,10
960,side_detector_distance,0
963,map,10
963,traffic_density,10
963,side_detector_distance,0
966,map,10
966,traffic_density,10
966,side_detector_distance,0
968,map,10
968,traffic_density,10
968,side_detector_distance,0
970,map,10
970,traffic_density,10
970,side_detector_distance,0
973,map,10
973,traffic_density,10
973,side_detector_distance,0
979,map,10
979,traffic_density,10
979,side_detector_distance,0
986,map,10
986,traffic_density,10
986,side_detector_distance,0
987,map,10
987,traffic_density,10
987,side_detector_distance,0
994,map,10
994,traffic_density,10
994,side_detector_distance,0
996,map,10
996,traffic_density,10
996,side_detector_distance,0
999,map,10
999,traffic_density,10
999,side_detector_distance,0
1000,map,10
1000,traffic_density,10
1000,side_detector_distance,0
1003,map,10
1003,traffic_density,10
1003,side_detector_distance,0
1004,map,10
1004,traffic_density,10
1004,side_detector_distance,0
1005,map,10
1005,traffic_density,10
1005,side_detector_distance,0
1008,map,10
1008,traffic_density,10
1008,side_detector_distance,0
1009,map,10
1009,traffic_density,10
1009,side_detector_distance,0
1012,map,10
1012,traffic_density,10
1012,side_detector_distance,0
1013,map,10
1013,traffic_density,10
1013,side_detector_distance,0
1014,map,10
1014,traffic_density,10
1014,side_detector_distance,0
1016,map,10
1016,traffic_density,10
1016,side_detector_distance,0
1017,map,10
1017,traffic_density,10
1017,side_detector_distance,0
1019,map,10
1019,traffic_density,10
1019,side_detector_distance,0
1020,map,10
1020,traffic_density,10
1020,side_detector_distance,0
1021,map,10
1021,traffic_density,10
1021,side_detector_distance,0
1022,map,10
1022,traffic_density,10
1022,side_detector_distance,0
1024,map,10
1024,traffic_density,10
1024,side_detector_distance,0
1025,map,10
1025,traffic_density,10
1025,side_detector_distance,0
1027,map,10
1027,traffic_density,10
1027,side_detector_distance,0
1029,map,10
1029,traffic_density,10
1029,side_detector_distance,0
1030,map,10
1030,traffic_density,10
1030,side_detector_distance,0
1033,map,10
1033,traffic_density,10
1033,side_detector_distance,0
1037,map,10
1037,traffic_density,10
1037,side_detector_distance,0
1039,map,10
1039,traffic_density,10
1039,side_detector_distance,0
1043,map,10
1043,traffic_density,10
1043,side_detector_distance,0
1044,map,10
1044,traffic_density,10
1044,side_detector_distance,0
1048,map,10
1048,traffic_density,10
1048,side_detector_distance,0
1050,map,10
1050,traffic_density,10
1050,side_detector_distance,0
1051,map,10
1051,traffic_density,10
1051,side_detector_distance,0
1052,map,10
1052,traffic_density,10
1052,side_detector_distance,0
1054,map,10
1054,traffic_density,10
1054,side_detector_distance,0
1058,map,10
1058,traffic_density,10
1058,side_detector_distance,0
1064,map,10
1064,traffic_density,10
1064,side_detector_distance,0
1065,map,10
1065,traffic_density,10
1065,side_detector_distance,0
1067,map,10
1067,traffic_density,10
1067,side_detector_distance,0
1069,map,10
1069,traffic_density,10
1069,side_detector_distance,0
1070,map,10
1070,traffic_density,10
1070,side_detector_distance,0
1072,map,10
1072,traffic_density,10
1072,side_detector_distance,0
1073,map,10
1073,traffic_density,10
1073,side_detector_distance,0
1074,map,9
1074,traffic_density,10
1074,side_detector_distance,0
1076,map,10
1076,traffic_density,10
1076,side_detector_distance,0
1077,map,10
1077,traffic_density,10
1077,side_detector_distance,0
1078,map,10
1078,traffic_density,10
1078,side_detector_distance,0
1082,map,10
1082,traffic_density,10
1082,side_detector_distance,0
1085,map,10
1085,traffic_density,10
1085,side_detector_distance,0
1086,map,10
1086,traffic_density,10
1086,side_detector_distance,0
1087,map,10
1087,traffic_density,10
1087,side_detector_distance,0
1093,map,10
1093,traffic_density,10
1093,side_detector_distance,0
1094,map,10
1094,traffic_density,10
1094,side_detector_distance,0
1095,map,10
1095,traffic_density,10
1095,side_detector_distance,0
1097,map,10
1097,traffic_density,10
1097,side_detector_distance,0
1099,map,10
1099,traffic_density,10
1099,side_detector_distance,0
1101,map,10
1101,traffic_density,10
1101,side_detector_distance,0
1103,map,10
1103,traffic_density,10
1103,side_detector_distance,0
1104,map,10
1104,traffic_density,10
1104,side_detector_distance,0
1108,map,8
1108,traffic_density,10
1108,side_detector_distance,0
1110,map,10
1110,traffic_density,10
1110,side_detector_distance,0
1113,map,10
1113,traffic_density,10
1113,side_detector_distance,0
